商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
kARIOOO ขนตาปลอมมีกาวในตัว เส้นขนตาบาง ใส่สบาย ดูเป็นธรรมชาติ มีให้เลือก 18 ทรง KA01-KA18、KA50-55、KA60-65,KARIOOO-SHOP,฿69.00,美妆个护-美妆-化妆工具,10%,43117,29.93%,371757,21841312.28,2391637.88,2025-01-15 06:48:19,880422
น้ำอาบ RuiFeiShi น้ำหอม น้ำอาบสูตรล้างทรงเครื่อง บำรุงผิว ปกป้อง ผิว ผู้ชาย ผู้หญิง น้ำหอมหลากหลายสูตร (ดอกทิวลิป ดอกเชอร์รี่ ดอกโอริดเทีย) ขนาด 1.1 ลิตร（1548）,SANNY LEKE,฿61.00,美妆个护-洗浴与身体护理-沐浴露与香皂,20%,42910,44.28%,120233,6692226.34,2168610.36,2024-09-04 06:27:21,620291
Naturista เจลล้างหน้าทีทรี pH Balance 5.5 สูตรอ่อนโยน สำหรับคนเป็นสิว และผิวแพ้ง่าย Tea Tree Facial Cleanser 300ml,NaturistaTH,฿92.96,美妆个护-美容护肤-洗面乳,12%,42755,-3.29%,2185165,197347939.9,3427133.7,2022-10-25 00:18:21,3145736
Pinkflash UpNSet - แว็กซ์คิ้วแกะสลักกันน้ำ 2 in 1 พร้อมแปรง ติดทนนาน ย้อมสี ยกคิ้ว จัดแต่งทรงผม สบู่ แต่งหน้าคิ้ว สีดำใส สีน้ำตาล,PINKFLASH.TH,฿96.89,美妆个护-美妆-眉笔&眉粉&眉胶,5%,42505,483.22%,124088,10683013.27,3654165.48,2023-11-07 17:37:10,4406503
【Live】แป้งพัฟสุรีย์พร 1 ตลับ ราคาพิเศษ (มีให้เลือก 4 เฉดสี),มินิอายรีวิว,฿216.90,美妆个护-美妆-散粉,3%,41984,99.2%,64453,10178935,6482804,2025-07-05 00:15:35,3554720
[เฉพาะไลฟ์เจนนี่] เซต 2 ขวด โกลด์คาเวียร์ เซรั่ม GOLD CAVIAR SERUM (R),AmadoSVS,฿379.00,美妆个护-美容护肤-面部精华液,10%,41750,41749900%,52751,15888948.83,13378284,2024-08-31 14:59:46,188263
น้ำหอมติดทน น้ำหอมผู้หญิง 50ML กลิ่นคลาสสิค จัสมิน น้ำหอมดอกกุหลาบ นักเรียน นำหอมลาเวนเดอร์Women's,yibin shop,฿41.10,美妆个护-香水-男女通用香水,10%,41171,342.94%,104523,4449961.05,1467030.38,2025-02-22 03:49:52,532558
COD【ซื้อ 1 แถม 1】น้ำหอม  สำหรับผู้หญิง กลิ่นกุหลาบออสมันทัส ลาเวนเดอร์ การ์ดีเนีย กลิ่นหอมอ่อนๆ กลิ่นดอกไม้สดชื่น,MINGYU MALL,฿72.30,美妆个护-香水-女士香水,10%,40788,-6.48%,121388,8294160.26,2782632.41,2025-06-28 12:07:39,390081
ลดสนั่น! ริริโก๊ะ แอดวานชน์ รีคัฟเวอร์รี่เนียม RIRIKO ADVANCED RECOVERY SERUM - เซรั่มบำรุง,Kongnaphat,฿150.05,美妆个护-女性私密处护理-私密处清洁用品,8%,40547,87.83%,385894,104772629.3,5884531.38,2023-07-06 13:14:47,2688846
ZENDORI UV BABY POWDER แป้งฝุ่นอัดแข็งไม่ผสมรองพื้น เหมาะสำหรับผิวแพ้ง่าย สีชมพู เหลือง,Zendori,฿71.00,美妆个护-美妆-散粉,3%,40460,51.24%,91811,6094189.55,2622981.12,2024-09-05 12:21:31,127762
